id,name,url,pictureURL,first_tag,second_tag,top_five_tags
0,MALICE MIZER,http://www.last.fm/music/MALICE+MIZER,http://userserve-ak.last.fm/serve/252/10808.jpg,139,141,j-rock visual kei gothic japanese weeabo
1,Diary of Dreams,http://www.last.fm/music/Diary+of+Dreams,http://userserve-ak.last.fm/serve/252/3052066.jpg,569,30,darkwave german gothic seen live industrial
2,Carpathian Forest,http://www.last.fm/music/Carpathian+Forest,http://userserve-ak.last.fm/serve/252/40222717.jpg,4,3635,black metal true norwegian black metal norwegian black metal very kvlt norsk arysk metal
3,Moi dix Mois,http://www.last.fm/music/Moi+dix+Mois,http://userserve-ak.last.fm/serve/252/54697835.png,139,535,j-rock japanese visual kei gothic metal
4,Bella Morte,http://www.last.fm/music/Bella+Morte,http://userserve-ak.last.fm/serve/252/14789013.jpg,569,179,darkwave gothic gothic rock deathrock covers
5,Moonspell,http://www.last.fm/music/Moonspell,http://userserve-ak.last.fm/serve/252/2181591.jpg,7,4,gothic metal black metal doom metal dark metal seen live
6,Marilyn Manson,http://www.last.fm/music/Marilyn+Manson,http://userserve-ak.last.fm/serve/252/2558217.jpg,1,61,metal industrial rock industrial metal alternative
7,DIR EN GREY,http://www.last.fm/music/DIR+EN+GREY,http://userserve-ak.last.fm/serve/252/46968835.png,139,141,j-rock visual kei metal japanese jrock
8,Combichrist,http://www.last.fm/music/Combichrist,http://userserve-ak.last.fm/serve/252/51273485.jpg,61,86,industrial ebm dark electro seen live dark techno
9,Grendel,http://www.last.fm/music/Grendel,http://userserve-ak.last.fm/serve/252/5872875.jpg,86,559,ebm dark electro industrial electronic terrorbanana
10,Agonoize,http://www.last.fm/music/Agonoize,http://userserve-ak.last.fm/serve/252/31693309.jpg,86,61,ebm industrial dark electro terrorbanana rave
11,Behemoth,http://www.last.fm/music/Behemoth,http://userserve-ak.last.fm/serve/252/54196161.jpg,5,4,death metal black metal brutal death metal blackened death metal technical death metal
12,Hocico,http://www.last.fm/music/Hocico,http://userserve-ak.last.fm/serve/252/34892635.jpg,86,559,ebm dark electro industrial electro-industrial electronic
13,Dimmu Borgir,http://www.last.fm/music/Dimmu+Borgir,http://userserve-ak.last.fm/serve/252/52216127.png,4,1503,black metal symphonic black metal melodic black metal death metal symphonic
14,London After Midnight,http://www.last.fm/music/London+After+Midnight,http://userserve-ak.last.fm/serve/252/5364091.jpg,179,61,gothic industrial gothic rock goth darkwave
15,Psyclon Nine,http://www.last.fm/music/Psyclon+Nine,http://userserve-ak.last.fm/serve/252/35246025.jpg,61,559,industrial dark electro ebm harsh ebm aggrotech
16,The Crüxshadows,http://www.last.fm/music/The+Cr%C3%BCxshadows,http://userserve-ak.last.fm/serve/252/10323129.jpg,569,179,darkwave gothic industrial electronic ebm
17,:wumpscut:,http://www.last.fm/music/%3Awumpscut%3A,http://userserve-ak.last.fm/serve/252/541326.jpg,61,86,industrial ebm electronic dark electro po-kraftwerkski
18,Limbonic Art,http://www.last.fm/music/Limbonic+Art,http://userserve-ak.last.fm/serve/252/29314111.jpg,4,89,black metal symphonic metal symphonic black metal norwegian black metal metal
19,Artista sconosciuto,http://www.last.fm/music/Artista+sconosciuto,http://userserve-ak.last.fm/serve/252/17969009.png,0,0,
20,xotox,http://www.last.fm/music/xotox,http://userserve-ak.last.fm/serve/252/5297893.jpg,61,67,industrial noise powernoise electro-industrial ebm
21,The Kovenant,http://www.last.fm/music/The+Kovenant,http://userserve-ak.last.fm/serve/252/8058051.jpg,6,18,industrial metal electronic cyber metal black metal industrial
22,Feindflug,http://www.last.fm/music/Feindflug,http://userserve-ak.last.fm/serve/252/17291471.jpg,61,86,industrial ebm electro-industrial terrorbanana rave
23,Cradle of Filth,http://www.last.fm/music/Cradle+of+Filth,http://userserve-ak.last.fm/serve/252/30799583.jpg,4,7,black metal gothic metal metal symphonic black metal death metal
24,Tamtrum,http://www.last.fm/music/Tamtrum,http://userserve-ak.last.fm/serve/252/8193963.jpg,559,321,dark electro french harsh ebm electronic melancholy
25,Laibach,http://www.last.fm/music/Laibach,http://userserve-ak.last.fm/serve/252/615172.jpg,61,86,industrial ebm electronic avant-garde favorites
26,Gorgoroth,http://www.last.fm/music/Gorgoroth,http://userserve-ak.last.fm/serve/252/35522943.jpg,4,2053,black metal norwegian black metal true norwegian black metal metal seen live
27,And One,http://www.last.fm/music/And+One,http://userserve-ak.last.fm/serve/252/50818861.jpg,74,86,synthpop ebm electronic industrial futurepop
28,Amduscia,http://www.last.fm/music/Amduscia,http://userserve-ak.last.fm/serve/252/23951523.jpg,86,559,ebm dark electro industrial terrorbanana seen live
29,Covenant,http://www.last.fm/music/Covenant,http://userserve-ak.last.fm/serve/252/59793013.jpg,86,18,ebm electronic futurepop synthpop industrial
30,Icon of Coil,http://www.last.fm/music/Icon+of+Coil,http://userserve-ak.last.fm/serve/252/371747.jpg,86,61,ebm industrial futurepop electronic synthpop
31,KMFDM,http://www.last.fm/music/KMFDM,http://userserve-ak.last.fm/serve/252/19970449.jpg,61,6,industrial industrial metal industrial rock electronic german
32,Funker Vogt,http://www.last.fm/music/Funker+Vogt,http://userserve-ak.last.fm/serve/252/16436553.jpg,86,30,ebm german darkwave aggrotech industrial
33,Dawn of Ashes,http://www.last.fm/music/Dawn+of+Ashes,http://userserve-ak.last.fm/serve/252/28578343.jpg,559,8,dark electro terror ebm black metal industrial harsh ebm
34,Sopor Aeternus & The Ensemble of Shadows,http://www.last.fm/music/Sopor%2BAeternus%2B%2526%2BThe%2BEnsemble%2Bof%2BShadows,http://userserve-ak.last.fm/serve/252/260221.jpg,569,179,darkwave gothic electronic german medieval
35,The Faint,http://www.last.fm/music/The+Faint,http://userserve-ak.last.fm/serve/252/1985.jpg,81,18,indie electronic dance indie rock noise
36,God Module,http://www.last.fm/music/God+Module,http://userserve-ak.last.fm/serve/252/608782.jpg,86,559,ebm dark electro dark industrial aggrotech
37,Noisuf-X,http://www.last.fm/music/Noisuf-X,http://userserve-ak.last.fm/serve/252/27456325.jpg,61,86,industrial ebm powernoise electronic noise
38,Das Ich,http://www.last.fm/music/Das+Ich,http://userserve-ak.last.fm/serve/252/46246053.jpg,61,86,industrial ebm german gothic darkwave
